sender,subject,body,label
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
support@paypal.com,Account Update,Please review your account settings,0
noreply@suspicious-bank.com,URGENT: Verify Your Account NOW!!!,Click here to verify your account immediately,1
verify@fake-amazon.tk,Confirm Your Identity,We detected suspicious activity. Update now.,1
confirm@malicious.com,Action Required,Confirm your identity to continue,1
